      205      113       65       65       65       65       65       35        
      360      205       91       91       91       91       91       50        
      377      296      113      113      113      113      113       65        
        0      360      146      123      123      116      116       91        
        0      377      168      146      126      123      123      113        
        0        0      205      168      146      126      126      116        
        0        0      246      205      168      137      137      123        
        0        0      270      246      205      139      139      126        
        0        0      296      270      246      146      146      137        
        0        0      313      296      270      168      168      139        
        0        0      360      313      296      205      205      146        
        0        0      377      322      313      246      246      168        
        0        0        0      360      322      270      270      205        
        0        0        0      377      360      296      278      226        
        0        0        0        0      377      301      288      236        
        0        0        0        0        0      313      296      246        
        0        0        0        0        0      315      301      259        
        0        0        0        0        0      322      313      270        
        0        0        0        0        0      360      315      296        
        0        0        0        0        0      377      322      313        
        0        0        0        0        0        0      360      315        
        0        0        0        0        0        0      377      322        
        0        0        0        0        0        0        0      360        
        0        0        0        0        0        0        0      377        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
        0        0        0        0        0        0        0        0        
 DIURNAL  O1 GROUP Q1       Q1       Q1       Q1       Q1       SIGMA1          
 SEMI D.  K1   "   O1       O1       O1       O1       O1       Q1              
 TER D.   M2   "   M1       M1       M1       M1       M1       RHO1            
          S2   "   P1S1K1   P1       P1       PI1      PI1      O1              
          M3   "   J1       S1K1     S1       P1       P1       M1              
                   OO1      J1       K1       S1       S1       PI1             
                   2N2      OO1      J1       K1       K1       P1              
                   N2       2N2      OO1      PSI1     PSI1     S1              
                   M2       N2       2N2      PHI1     PHI1     K1              
                   L2       M2       N2       J1       J1       PSI1            
                   S2K2     L2       M2       OO1      OO1      PHI1            
                   M3       S2       L2       2N2      2N2      J1              
                            K2       S2       N2       N2       OO1             
                            M3       K2       M2       ALPHA2   EPSILON2        
                                     M3       LAMBDA2  M2       2N2             
                                              L2       BETA2    MU2             
                                              T2       LAMBDA2  N2              
                                              S2       L2       NU2             
                                              K2       T2       M2              
                                              M3       S2       L2              
                                                       K2       T2              
                                                       M3       S2              
                                                                K2              
                                                                M3              
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
