             1.7D0,    2.9D0,    4.0D0,    5.2D0,
   6.3D0,    7.5D0,    8.6D0,    9.7D0,   10.9D0,
  12.1D0,   13.4D0,   14.6D0,   15.7D0,   16.8D0,
  17.8D0,   18.7D0,   19.6D0,   20.4D0,   21.1D0,
  21.7D0,   22.2D0,   23.0D0,   22.9D0,   23.4D0,
  23.7D0,   23.9D0,   23.9D0,   23.5D0,   23.7D0,
  24.0D0,   24.1D0,   24.4D0,   24.2D0,   24.4D0,
  24.3D0,   24.2D0,   24.2D0,   24.6D0,   24.4D0,
  24.6D0,   25.5D0,   25.5D0,   26.4D0,   26.7D0,
  26.9D0,   27.4D0,   28.2D0,   28.5D0,   29.2D0,
  29.9D0,   30.0D0,   30.6D0,   31.0D0,   31.3D0,
  31.23D0,  31.50D0,  31.92D0,  32.43D0,  32.91D0,
  33.37D0,  33.78D0,  34.246D0, 34.735D0, 35.403D0,
  36.151D0, 37.000D0, 37.887D0, 38.756D0, 39.708D0,
  40.710D0, 41.689D0, 42.825D0, 43.961D0, 44.998D0,
  45.986D0, 47.000D0, 48.038D0, 49.105D0, 50.105D0,
  50.981D0, 51.817D0, 52.578D0, 53.438D0, 54.090D0,
  54.640D0, 55.117D0, 55.585D0, 56.098D0, 56.574D0,
  57.227D0, 57.962D0, 58.545D0, 59.590D0, 60.406D0,
  61.250D0, 61.980D0, 62.638D0, 63.285D0, 63.660D0,
  64.000D0, 64.500D0, 65.000D0, 65.500D0, 66.000D0,
  66.500D0, 67.000D0, 67.500D0, 68.000D0, 68.500D0,
  69.000D0, 69.500D0, 70.000D0, 70.500D0, 71.000D0,
  71.500D0, 72.000D0, 72.500D0, 73.000D0, 73.500D0,
  74.000D0, 74.500D0, 75.000D0, 75.500D0, 76.000D0,
  76.500D0, 77.000D0, 77.500D0, 78.000D0, 78.500D0,
  79.000D0,

TABLE OF TD-UT FROM 1901.5 TO 2030.5
LAST UPDATE : OCTOBER  1999
